case,direction,requested,actual,method,status,l1,l2,linf
c5,y,0.35,0.34875,weno5_js,complete,0.06260650851993006,0.2340792360435701,2.0962146223918
c5,y,0.35,0.34875,weno5_sr_f64,complete,0.03660509816790044,0.13006979913988678,1.007438740790386
c5,y,0.35,0.34875,weno5_sr_f32,complete,0.03511436846748442,0.13733464494402056,1.01696042768643
c5,y,0.35,0.34875,weno7_js,complete,0.05028235321153549,0.19762380939057417,1.6367897050226587
c5,y,0.35,0.34875,weno7_z_p3,complete,0.05710158255434477,0.22408247983594376,1.9736860863368626
c5,y,0.35,0.34875,weno7_sr_f64,complete,0.03033164500728077,0.12908968169407778,1.2327362109690636
c5,y,0.665,0.66625,weno5_js,complete,0.03395975599523155,0.11488329519822,1.0069823163535532
c5,y,0.665,0.66625,weno5_sr_f64,complete,0.014263866032348908,0.043435673353851505,0.4167136602052406
c5,y,0.665,0.66625,weno5_sr_f32,complete,0.015827707821339215,0.04805314479448881,0.4461581551948126
c5,y,0.665,0.66625,weno7_js,complete,0.02683646597976076,0.09241540067995882,0.8405195881959489
c5,y,0.665,0.66625,weno7_z_p3,complete,0.03113108812410151,0.10994153002933649,0.9276709151357938
c5,y,0.665,0.66625,weno7_sr_f64,complete,0.018771313931671904,0.0789447757066223,0.9558683701503194
c5,x,0.665,0.66625,weno5_js,complete,0.06358146525790412,0.10904858692305877,0.3723210119028677
c5,x,0.665,0.66625,weno5_sr_f64,complete,0.041923446336006,0.07273163601512067,0.24456644177206455
c5,x,0.665,0.66625,weno5_sr_f32,complete,0.040140697352743074,0.06961583975968719,0.23777528075372278
c5,x,0.665,0.66625,weno7_js,complete,0.04048443605577779,0.07304926518513447,0.2861156247710004
c5,x,0.665,0.66625,weno7_z_p3,complete,0.044309159361972376,0.07688599684950821,0.27846597430759634
c5,x,0.665,0.66625,weno7_sr_f64,complete,0.02018981243071091,0.042912437742750976,0.19414167404074112
c5,x,0.745,0.74375,weno5_js,complete,0.03765408527456576,0.18723698929601673,1.9925045677101543
c5,x,0.745,0.74375,weno5_sr_f64,complete,0.020374903500682558,0.09966584094028362,1.2374159585704172
c5,x,0.745,0.74375,weno5_sr_f32,complete,0.021311384056361522,0.09731380655076938,1.0743524716073245
c5,x,0.745,0.74375,weno7_js,complete,0.028666493717369755,0.1399165621077117,1.5534755428727522
c5,x,0.745,0.74375,weno7_z_p3,complete,0.0324990579479739,0.1626931969045393,1.9136186533275983
c5,x,0.745,0.74375,weno7_sr_f64,complete,0.017597254864621693,0.08499207616416847,1.052243874319025
