case,direction,location,coordinate_min,coordinate_max,method,status,l1,l2,linf
ma30,x,0.0675,0.005,0.084,weno5_js,complete,0.029790481427028035,0.03422731642887996,0.06400642292213377
ma30,x,0.0675,0.005,0.084,weno5_z_p2,complete,0.024893895901449067,0.028673070410464498,0.056815640102091614
ma30,x,0.0675,0.005,0.084,weno5_sr_f64,complete,0.022424133105962796,0.025700426434826205,0.05106290669329816
ma30,x,0.0675,0.005,0.084,weno5_sr_f32,complete,0.021159838353865108,0.02391335735385277,0.04682340644365102
ma30,x,0.1099125,0.012,0.077,weno5_js,complete,0.07094134593274161,0.18673619492769267,1.578349490751487
ma30,x,0.1099125,0.012,0.077,weno5_z_p2,complete,0.07127043231542217,0.20044257574601154,1.7112012631918312
ma30,x,0.1099125,0.012,0.077,weno5_sr_f64,complete,0.06510494958478498,0.19843458782895604,1.7027273491914132
ma30,x,0.1099125,0.012,0.077,weno5_sr_f32,complete,0.06430378289266078,0.19699322019805773,1.6951578469386697
ma30,y,0.02056439393939394,0.06,0.125,weno5_js,complete,0.22471864491781568,0.5423059891331267,3.2166401195412098
ma30,y,0.02056439393939394,0.06,0.125,weno5_z_p2,complete,0.19020495812947116,0.46539871718850356,2.965097159265616
ma30,y,0.02056439393939394,0.06,0.125,weno5_sr_f64,complete,0.17474303012237266,0.45922606496293633,2.9230295481003408
ma30,y,0.02056439393939394,0.06,0.125,weno5_sr_f32,complete,0.16220708535123504,0.4278942123018423,2.9845037353614883
ma30,x,0.0675,0.005,0.084,weno7_js,complete,0.020823616495611593,0.02411044940030075,0.049313174259932424
ma30,x,0.0675,0.005,0.084,weno7_z_p3,complete,0.023610169589991903,0.026923207414089892,0.05240710459559672
ma30,x,0.0675,0.005,0.084,weno7_sr_f64,complete,0.00896848699990446,0.011440451154917021,0.02855613358584108
ma30,x,0.1099125,0.012,0.077,weno7_js,complete,0.06078002453798703,0.20375156752242837,1.728817086573424
ma30,x,0.1099125,0.012,0.077,weno7_z_p3,complete,0.07534369465562325,0.19884478444438597,1.6593729605633623
ma30,x,0.1099125,0.012,0.077,weno7_sr_f64,complete,0.04559263829311065,0.12611050452301167,1.051832644625592
ma30,y,0.02056439393939394,0.06,0.125,weno7_js,complete,0.21787330575671138,0.5485204294617667,2.5692667824942808
ma30,y,0.02056439393939394,0.06,0.125,weno7_z_p3,complete,0.19171775170647565,0.4492773893063411,2.6756101387896187
ma30,y,0.02056439393939394,0.06,0.125,weno7_sr_f64,complete,0.14843569264141676,0.40180430027268094,2.4286875801428227
